question_id,question_type,difficulty,question,base_pipeline,strategy,pipeline,reranking_enabled,retrieval_mode,answer,total_time_s,answer_tokens,word_count,retrieved_chunk_count,retrieved_source_count,confidence_score,relevance_score,source_coverage,latency_breakdown_json,metric_groups_json
q01,single-hop,easy,Định nghĩa đồ thị là gì? Phân biệt đồ thị có hướng và đồ thị vô hướng.,PaCRAG,PaCRAG,PaCRAG,False,hybrid_bm25_vector,"Đồ thị là một cấu trúc dữ liệu trong Graph Theory, được sử dụng để mô hình hóa các mối quan hệ giữa các phần tử. Một đồ thị thường được biểu diễn bởi tập hợp các đỉnh (nút) và tập hợp các cạnh (đường), trong đó mỗi cạnh liên kết hai đỉnh.

Trong ngữ cảnh của câu hỏi, chúng ta đang nói về đồ thị vô hướng và đồ thị có hướng:

- Đồ thị vô hướng: Đây là dạng đồ thị đơn giản nhất, nơi mà mỗi cạnh chỉ biểu diễn mối quan hệ một chiều (từ đỉnh này đến đỉnh kia) mà không xác định được nào là đầu hay đuôi của nó. Mọi cạnh đều được coi như hai chiều, cho phép đi qua từ bất kỳ đỉnh nào đến bất kỳ đỉnh nào khác thông qua nó.

- Đồ thị có hướng: Đây là dạng đồ thị phức tạp hơn một chút, nơi mà mỗi cạnh chỉ biểu diễn mối quan hệ từ đỉnh này đến đỉnh kia theo một hướng cụ thể. Mỗi cạnh trong đồ thị có hướng đều được coi như có đầu (source) và đuôi (sink), cho phép chúng ta định nghĩa hướng đi qua nó.

Phân biệt giữa hai dạng đồ thị này là:
1. Trong đồ thị vô hướng, mỗi cạnh chỉ biểu diễn mối quan hệ hai chiều giữa hai đỉnh. Trong khi đó, trong đồ thị có hướng, mỗi cạnh thể hiện mối quan hệ một chiều từ đỉnh đầu đến đỉnh đuôi.
2. Đồ thị có hướng cho phép chúng ta xác định được hướng đi qua các cạnh.
3. Đồ thị vô hướng thì không có tính chất này.

- Một đặc điểm nữa của đồ thị là nó chỉ sử dụng tập hợp đỉnh và cạnh, không cần đến thông tin về các hướng của cạnh hay hướng đi qua chúng.
- Đối với đồ thị có hướng, thông tin về hướng của cạnh cũng được đề cập. 

Tôi không có thông tin cụ thể hơn từ ngữ cảnh đã cung cấp để thêm nguồn vào đây, nhưng thông tin được đưa ra dựa trên các định nghĩa cơ bản trong Graph Theory mà tôi hiểu rõ.

Nếu cần thêm chi tiết hoặc ví dụ cụ thể về đồ thị vô hướng hoặc đồ thị có hướng, vui lòng cho biết!",52.21,397,397,10,4,0.8,,,"{""context_formatting"": 0.0003040999872609973, ""hybrid_retrieval"": 0.5769024000037462, ""llm_generation"": 50.2087954999879, ""prompt_building"": 0.008841499977279454}","{""generation_metrics"": {}, ""graph_metrics"": {}, ""retrieval_metrics"": {""retrieved_chunk_count"": 10, ""retrieved_source_count"": 4, ""source_diversity"": 0.4}, ""system_metrics"": {""answer_tokens"": 397, ""time_total_s"": 52.21, ""word_count"": 397}}"
q01,single-hop,easy,Định nghĩa đồ thị là gì? Phân biệt đồ thị có hướng và đồ thị vô hướng.,GraphRAG,GraphRAG,GraphRAG,False,graph_vector,"Đồ thị là một cấu trúc rời rạc bao gồm đỉnh (nodes) và cạnh (edges). Đồ thị này có thể được định dạng như đồ thị có hướng, đồ thị vô hướng hoặc đồ thị đa hình (có nhiều cạnh giữa các cặp đỉnh).

- **Đồ Thị Vô Hướng**: Trong đồ thị vô hướng, mỗi cạnh chỉ kết nối giữa hai đỉnh mà không xác định hướng nào. Các cạnh được vẽ giữa hai đỉnh bằng đường thẳng.

- **Đồ Thị Có Hướng**: Trong trường hợp này, mỗi cạnh có thể được xem như một con đường đi từ đỉnh A đến đỉnh B, nghĩa là chỉ cho phép di chuyển từ A tới B và không cho phép ngược lại. Cạnh trong đồ thị có hướng thường được biểu diễn bằng dấu arrowhead.

Đồ thị đa hình (được gọi là đa đồ thị) là trường hợp đặc biệt khi một cặp đỉnh có thể có nhiều cạnh giữa chúng, không nhất thiết phải chỉ một cạnh duy nhất.",25.52,169,169,20,3,,,,"{""embed_query"": 5.500088999979198, ""extract_entities+hierarchical_context"": 7.404927399998996, ""graph_traversal"": 1.400010660290718e-06, ""llm_generation"": 12.438324799994007, ""vector_search"": 0.009293399984017015}","{""generation_metrics"": {}, ""graph_metrics"": {""doc_passage_count"": 5, ""entity_count"": 0, ""graph_fact_count"": 0, ""source_count"": 3}, ""retrieval_metrics"": {}, ""system_metrics"": {""answer_tokens"": 169, ""time_total_s"": 25.52, ""word_count"": 169}}"
q01,single-hop,easy,Định nghĩa đồ thị là gì? Phân biệt đồ thị có hướng và đồ thị vô hướng.,PaCRAG,PaCRAG+rerank,PaCRAG,True,hybrid_bm25_vector,"Đồ thị là một đối tượng toán học gồm các phần tử gọi là đỉnh (vertices) và đường dẫn được nối giữa các đỉnh gọi là cạnh (edges). Mỗi cạnh có thể có trọng số hoặc không kèm theo trọng số, tùy thuộc vào cấu trúc cụ thể của đồ thị.

Phân biệt đồ thị có hướng và đồ thị vô hướng:

- Đồ thị vô hướng: Trong đồ thị này, cạnh chỉ cho biết nối giữa các đỉnh mà không định nghĩa được sự ưu tiên hay hướng từ một đỉnh đến đỉnh khác. Ví dụ, nếu giữa đỉnh A và B có một cạnh trong đồ thị, thì cũng vậy giữa đỉnh B và A.

- Đồ thị có hướng: Đây là loại đồ thị mà mỗi cạnh đều chỉ ra một hướng từ một đỉnh đến một đỉnh khác. Ví dụ, cạnh có thể đi từ đỉnh A đến đỉnh B nhưng không đồng nghĩa với việc cạnh này sẽ ngược lại từ đỉnh B đến đỉnh A.",42.14,171,171,5,3,0.5,,,"{""context_formatting"": 0.000235399988014251, ""hybrid_retrieval"": 4.654754800023511, ""llm_generation"": 19.554000500007533, ""prompt_building"": 0.0008911000331863761}","{""generation_metrics"": {}, ""graph_metrics"": {}, ""retrieval_metrics"": {""retrieved_chunk_count"": 5, ""retrieved_source_count"": 3, ""source_diversity"": 0.6}, ""system_metrics"": {""answer_tokens"": 171, ""time_total_s"": 42.14, ""word_count"": 171}}"
q01,single-hop,easy,Định nghĩa đồ thị là gì? Phân biệt đồ thị có hướng và đồ thị vô hướng.,GraphRAG,GraphRAG+rerank,GraphRAG,True,graph_vector,"Đồ thị trong lý thuyết cấu trúc rời rạc là một cấu trúc bao gồm hai tập hợp: đỉnh (nodes) và cạnh (edges). Đỉnh tượng trưng cho các đối tượng mà chúng ta đang phân tích, trong khi cạnh biểu diễn mối quan hệ giữa các đỉnh.

Phân biệt đồ thị có hướng và đồ thị vô hướng:
- Đồ thị có hướng (directed graph): Các cạnh chỉ định một hướng từ một đỉnh đến một đỉnh khác. Ví dụ: G=(V,E) với E chứa các cặp (u,v) nên chỉ cho biết u là con của v, không thể đảo ngược.
  
- Đồ thị vô hướng (undirected graph): Các cạnh không chỉ định hướng, chỉ biểu diễn mối quan hệ giữa hai đỉnh. Tất cả các cạnh đều được xem như một chiều từ đỉnh này đến đỉnh kia và ngược lại.

Đối với thực tế ứng dụng, đồ thị có thể đại diện cho mạng máy tính, giao thông đường bộ/giới, hoặc trong lĩnh vực y học để mô phỏng chuỗi chuyển hóa trong cơ thể.",35.11,176,176,20,3,,,,"{""embed_query"": 6.030564600019716, ""extract_entities+hierarchical_context"": 2.452959100017324, ""graph_traversal"": 1.100008375942707e-06, ""llm_generation"": 12.394939600024372, ""reranking"": 14.189521400025114, ""vector_search"": 0.0030966000049374998}","{""generation_metrics"": {}, ""graph_metrics"": {""doc_passage_count"": 5, ""entity_count"": 0, ""graph_fact_count"": 0, ""source_count"": 3}, ""retrieval_metrics"": {}, ""system_metrics"": {""answer_tokens"": 176, ""time_total_s"": 35.11, ""word_count"": 176}}"
q02,single-hop,easy,Bậc của một đỉnh trong đồ thị là gì? Tính chất gì liên quan đến tổng bậc của tất cả các đỉnh trong đồ thị?,PaCRAG,PaCRAG,PaCRAG,False,hybrid_bm25_vector,"Bậc của một đỉnh trong đồ thị là số lượng cạnh (edge) mà đỉnh đó tham gia. Cụ thể hơn, nếu ta ký hiệu bằng d(v) cho bậc của đỉnh v, thì d(v) được xác định bằng tổng số cạnh (edges) kết nối với đỉnh v.

Tính chất liên quan đến tổng bậc của tất cả các đỉnh trong đồ thị là: Tổng bậc của tất cả các đỉnh trong một đồ thị có hướng (digraph) luôn bằng 2 lần tổng số cạnh của đồ thị. Điều này được thể hiện bởi định lý về tổng bậc, cho biết rằng tổng bậc của tất cả các đỉnh trong một đồ thị (hay đồ thị có hướng) luôn bằng hai lần tổng số cạnh.

- Nguồn: LSĐ.docx
- Trang: 12",23.08,129,129,13,8,0.8,,,"{""context_formatting"": 0.0019207000150345266, ""hybrid_retrieval"": 3.2150406999862753, ""llm_generation"": 18.358400099969003, ""prompt_building"": 0.0012238000053912401}","{""generation_metrics"": {}, ""graph_metrics"": {}, ""retrieval_metrics"": {""retrieved_chunk_count"": 13, ""retrieved_source_count"": 8, ""source_diversity"": 0.6154}, ""system_metrics"": {""answer_tokens"": 129, ""time_total_s"": 23.08, ""word_count"": 129}}"
q02,single-hop,easy,Bậc của một đỉnh trong đồ thị là gì? Tính chất gì liên quan đến tổng bậc của tất cả các đỉnh trong đồ thị?,GraphRAG,GraphRAG,GraphRAG,False,graph_vector,Khong du thong tin de tra loi.,25.93,7,7,20,3,,,,"{""embed_query"": 4.725387300015427, ""extract_entities+hierarchical_context"": 5.406815800000913, ""fallback_generation"": 1.616776500013657, ""graph_traversal"": 2.600019797682762e-06, ""llm_generation"": 14.100406799989287, ""vector_search"": 0.0012322000111453235}","{""generation_metrics"": {}, ""graph_metrics"": {""doc_passage_count"": 6, ""entity_count"": 0, ""graph_fact_count"": 0, ""source_count"": 3}, ""retrieval_metrics"": {}, ""system_metrics"": {""answer_tokens"": 7, ""time_total_s"": 25.93, ""word_count"": 7}}"
q02,single-hop,easy,Bậc của một đỉnh trong đồ thị là gì? Tính chất gì liên quan đến tổng bậc của tất cả các đỉnh trong đồ thị?,PaCRAG,PaCRAG+rerank,PaCRAG,True,hybrid_bm25_vector,"Bậc của một đỉnh trong đồ thị là số lượng cạnh liên kết đến đỉnh đó. Đặc biệt hơn, nó biểu diễn số lượng cạnh mà đỉnh cần thiết phải đi qua để từ đỉnh này đi đến các đỉnh kề với nó.

Tính chất liên quan đến tổng bậc của tất cả các đỉnh trong đồ thị:
- Tổng bậc của tất cả các đỉnh trong một đồ thị vô hướng (đơn đồ thị hoặc đa đồ thị) luôn bằng 2n, trong đó n là số lượng đỉnh.
- Tổng bậc của tất cả các đỉnh trong một đồ thị có hướng (đồ thị có hướng đơn hay đa đồ thị) luôn bằng 0. Điều này bởi vì mỗi cạnh đóng vai trò như hai cạnh ngược chiều, và tổng số cạnh luôn bằng 2n.

Nguồn: graph theory 1.pdf
Trang: 53",83.14,142,142,5,4,,,,"{""context_formatting"": 0.0007769000367261469, ""hybrid_retrieval"": 4.065916299994569, ""llm_generation"": 18.68225579999853, ""prompt_building"": 0.0004364000051282346}","{""generation_metrics"": {}, ""graph_metrics"": {}, ""retrieval_metrics"": {""retrieved_chunk_count"": 5, ""retrieved_source_count"": 4, ""source_diversity"": 0.8}, ""system_metrics"": {""answer_tokens"": 142, ""time_total_s"": 83.14, ""word_count"": 142}}"
q02,single-hop,easy,Bậc của một đỉnh trong đồ thị là gì? Tính chất gì liên quan đến tổng bậc của tất cả các đỉnh trong đồ thị?,GraphRAG,GraphRAG+rerank,GraphRAG,True,graph_vector,"Bậc của một đỉnh trong đồ thị được định nghĩa là số lượng cạnh nối vào đỉnh đó. Tổng bậc của tất cả các đỉnh trong một đồ thị có một tính chất quan trọng, đó là tổng bậc mọi đỉnh luôn bằng vội (với v là số lượng cạnh) vì mỗi cạnh đóng vai trò nối hai đỉnh khác nhau.

Ví dụ: giả sử chúng ta có một đồ thị đơn (đồ thị không chứa cạnh lặp), thì tổng bậc của tất cả các đỉnh sẽ bằng với hai lần số lượng cạnh trong đồ thị đó. Điều này xảy ra bởi mỗi cạnh đều được tính đến hai lần, một đầu vào và một đầu ra cho mỗi đỉnh nó liên kết.

Tuy nhiên, trong trường hợp đồ thị đa (có thể có cạnh lặp), tổng bậc của tất cả các đỉnh sẽ không bằng v, mà thay vào đó, nó bằng 2v nếu ta thêm độ dài của tất cả các cạnh lặp.

Nguồn: graph theory 1.pdf
Trang: 11

Nếu bạn cần thông tin chi tiết hơn về định nghĩa và tính chất cụ thể trong trường hợp đa đồ thị hoặc đồ thị đơn, bạn có thể tham khảo tài liệu ""Toán Rơi Rạc – Fall 2005"" do Nguyễn Đức Nghĩa thực hiện.",48.93,217,217,20,3,1.0,,,"{""embed_query"": 6.014212200010661, ""extract_entities+hierarchical_context"": 2.896605699963402, ""graph_traversal"": 2.00001522898674e-06, ""llm_generation"": 21.21245639998233, ""reranking"": 18.68271270004334, ""vector_search"": 0.0023871000157669187}","{""generation_metrics"": {}, ""graph_metrics"": {""doc_passage_count"": 6, ""entity_count"": 0, ""graph_fact_count"": 0, ""source_count"": 3}, ""retrieval_metrics"": {}, ""system_metrics"": {""answer_tokens"": 217, ""time_total_s"": 48.93, ""word_count"": 217}}"
q03,multi-hop,medium,Định nghĩa đồ thị liên thông là gì? Phân biệt giữa đồ thị liên thông mạnh và đồ thị liên thông yếu trong đồ thị có hướng.,PaCRAG,PaCRAG,PaCRAG,False,hybrid_bm25_vector,"Đồ thị được gọi là liên thông nếu tồn tại ít nhất một đường đi từ bất kỳ đỉnh nào đến bất kỳ đỉnh nào khác trong đồ thị. Nghĩa là cho một đồ thị G = (V, E), nếu có một đường đi từ u đến v với mọi u, v ∈ V thì đồ thị G được gọi là liên thông.

Giới thiệu thêm về phân biệt giữa đồ thị liên thông mạnh và đồ thị liên thông yếu:
- Đồ thị G được gọi là liên thông mạnh nếu cho bất kỳ hai đỉnh u, v ∈ V nào, đều tồn tại một đường đi từ u đến v.
- Trái lại, G được gọi là liên thông yếu nếu cho bất kỳ hai đỉnh u, v ∈ V, dù có tồn tại một đường đi từ u đến v hoặc từ v đến u thì đồ thị G vẫn được xem là liên thông.

Phân biệt giữa hai định nghĩa này sẽ phụ thuộc vào cấu trúc của đồ thị, ví dụ như khi có hướng của cạnh. Trên đồ thị có hướng, nếu chỉ coi trọng việc tồn tại các đường đi từ đỉnh này sang đỉnh kia theo chiều hướng cụ thể thì ta nói về liên thông mạnh và yếu.

Để xác định chính xác điều đó cho một đồ thị cụ thể, cần kiểm tra lại cấu trúc của đồ thị. Tôi không có thông tin về vấn đề này, vui lòng liên hệ bộ phận hỗ trợ.",33.09,256,256,12,7,0.9,,,"{""context_formatting"": 0.0005189000512473285, ""hybrid_retrieval"": 5.694444899971131, ""llm_generation"": 26.208982799958903, ""prompt_building"": 0.00045740004861727357}","{""generation_metrics"": {}, ""graph_metrics"": {}, ""retrieval_metrics"": {""retrieved_chunk_count"": 12, ""retrieved_source_count"": 7, ""source_diversity"": 0.5833}, ""system_metrics"": {""answer_tokens"": 256, ""time_total_s"": 33.09, ""word_count"": 256}}"
q03,multi-hop,medium,Định nghĩa đồ thị liên thông là gì? Phân biệt giữa đồ thị liên thông mạnh và đồ thị liên thông yếu trong đồ thị có hướng.,GraphRAG,GraphRAG,GraphRAG,False,graph_vector,"Đồ thị liên thông (Connected Graph) là một đồ thị trong đó mọi đỉnh đều được kết nối với nhau thông qua các cạnh. Nghĩa là, từ bất kỳ đỉnh nào trong đồ thị, chúng ta đều có thể đi đến tất cả các đỉnh khác bằng cách di chuyển qua các cạnh.

Trong khi đó:

1. Đồthị liên thông mạnh (Strongly Connected Graph): Một đồthị có hướng được gọi là đồthị liên thông mạnh nếu từ bất kỳ đỉnh nào, chúng ta có thể đi đến tất cả các đỉnh khác thông qua các đường đi trong đồthị. Điều này cũng nghĩa là từ bất kỳ đỉnh nào, chúng ta đều có thể đi đến bất kỳ đỉnh nào khác thông qua các đường đi trong đồthị.

2. Đồthị liên thông yếu (Weakly Connected Graph): Một đồthị có hướng được gọi là đồthị liên thông yếu nếu biến nó trở thành đồthị không hướng thì sẽ tạo ra một đồthị liên thông mạnh. Điều này nghĩa là bất kỳ đỉnh nào trong đồthị có hướng đều có thể đi đến tất cả các đỉnh khác trong đồthị không hướng bằng cách sử dụng tất cả các cạnh (nghĩa là, nếu bỏ qua hướng của cạnh).

Ví dụ cho đồthị liên thông mạnh: Trong một đồthị, để từ bất kỳ đỉnh nào đến bất kỳ đỉnh nào khác, chúng ta cần ít nhất một đường đi.

Ví dụ cho đồthị liên thông yếu: Giả sử có một đồthị có hướng với 4 đỉnh và 3 cạnh, nếu biến nó thành đồthị không hướng thì sẽ tạo ra một đồthị liên thông mạnh.",32.88,272,272,20,4,0.6,,,"{""embed_query"": 5.276856000011321, ""extract_entities+hierarchical_context"": 6.463957500003744, ""graph_traversal"": 1.9000144675374031e-06, ""llm_generation"": 21.076790400024038, ""vector_search"": 0.0020493000047281384}","{""generation_metrics"": {}, ""graph_metrics"": {""doc_passage_count"": 6, ""entity_count"": 0, ""graph_fact_count"": 0, ""source_count"": 4}, ""retrieval_metrics"": {}, ""system_metrics"": {""answer_tokens"": 272, ""time_total_s"": 32.88, ""word_count"": 272}}"
